message,label,language,scam_type,source,channel,sender,received_at
ÌKÍLỌ̀: A rí ìwọlé airotẹlẹ sí akọọlẹ Ile-iṣowo First Bank rẹ. Jẹ́rìí ní https://bit.ly/p546 tàbí à ó dì í,phishing,yo,account_suspension,synthetic_generator,sms,0816707131,2025-08-20T01:49:56.795Z
KÍLÓDÈ: Akọọlẹ Airtel Money rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://cutt.ly/e771 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0806763201,2025-09-06T22:22:56.795Z
KÍLÓDÈ: Akọọlẹ GTBank rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://bit.ly/c596 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0803401463,2025-09-25T05:19:56.795Z
ÌKÍLỌ̀: A rí ìwọlé airotẹlẹ sí akọọlẹ M-Pesa rẹ. Jẹ́rìí ní https://cutt.ly/c317 tàbí à ó dì í,phishing,yo,account_suspension,synthetic_generator,sms,0816300372,2025-06-06T23:42:56.798Z
KÍLÓDÈ: Akọọlẹ Ile-iṣowo First Bank rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://rb.gy/n694 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0813420317,2025-05-17T02:49:56.798Z
KÍLÓDÈ: Akọọlẹ MTN Mobile Money rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://tinyurl.com/g920 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0816376594,2025-06-18T05:11:56.798Z
KÍLÓDÈ: Akọọlẹ Access Bank rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://tinyurl.com/n532 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0813045872,2025-10-12T05:13:56.798Z
KÍLÓDÈ: Akọọlẹ Airtel Money rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://cutt.ly/e309 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0810934714,2025-09-17T12:05:56.798Z
ÌKÍLỌ̀: A rí ìwọlé airotẹlẹ sí akọọlẹ GTBank rẹ. Jẹ́rìí ní https://cutt.ly/m282 tàbí à ó dì í,phishing,yo,account_suspension,synthetic_generator,sms,0703773106,2025-04-24T00:15:56.798Z
KÍLÓDÈ: Akọọlẹ M-Pesa rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://rb.gy/f403 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0813128620,2025-06-12T05:58:56.798Z
ÌGBESE PỌ̀NDANDAN: Akọọlẹ Airtel Money rẹ yóò di ni wakati 4. Ṣe àtúnyẹ̀wò rẹ ní https://rb.gy/a474,phishing,yo,account_suspension,synthetic_generator,sms,0816510986,2025-09-02T20:27:56.798Z
ÌGBESE PỌ̀NDANDAN: Akọọlẹ Access Bank rẹ yóò di ni wakati 24. Ṣe àtúnyẹ̀wò rẹ ní https://tinyurl.com/y266,phishing,yo,account_suspension,synthetic_generator,sms,0810986244,2025-10-06T09:27:56.798Z
ÌGBESE PỌ̀NDANDAN: Akọọlẹ Airtel Money rẹ yóò di ni wakati 12. Ṣe àtúnyẹ̀wò rẹ ní https://tinyurl.com/r583,phishing,yo,account_suspension,synthetic_generator,sms,0803916793,2025-09-05T19:30:56.798Z
KÍLÓDÈ: Akọọlẹ GTBank rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://cutt.ly/m786 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0703396299,2025-05-17T00:18:56.798Z
KÍLÓDÈ: Akọọlẹ M-Pesa rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://cutt.ly/f187 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0803749092,2025-07-22T10:32:56.798Z
ÌKÍLỌ̀: A rí ìwọlé airotẹlẹ sí akọọlẹ Airtel Money rẹ. Jẹ́rìí ní https://tinyurl.com/h842 tàbí à ó dì í,phishing,yo,account_suspension,synthetic_generator,sms,0703820342,2025-05-22T12:29:56.798Z
ÌGBESE PỌ̀NDANDAN: Akọọlẹ GTBank rẹ yóò di ni wakati 12. Ṣe àtúnyẹ̀wò rẹ ní https://tinyurl.com/x117,phishing,yo,account_suspension,synthetic_generator,sms,0803597339,2025-06-05T21:46:56.798Z
ÌKÍLỌ̀: A rí ìwọlé airotẹlẹ sí akọọlẹ M-Pesa rẹ. Jẹ́rìí ní https://cutt.ly/j491 tàbí à ó dì í,phishing,yo,account_suspension,synthetic_generator,sms,0803287545,2025-10-05T00:11:56.798Z
ÌKÍLỌ̀: A rí ìwọlé airotẹlẹ sí akọọlẹ Access Bank rẹ. Jẹ́rìí ní https://rb.gy/t630 tàbí à ó dì í,phishing,yo,account_suspension,synthetic_generator,sms,0816195701,2025-08-06T10:57:56.798Z
KÍLÓDÈ: Akọọlẹ GTBank rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://cutt.ly/c763 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0806921113,2025-09-03T23:03:56.798Z
KÍLÓDÈ: Akọọlẹ Access Bank rẹ ti da duro nitori iṣe airotẹlẹ. Tẹ https://bit.ly/h342 lati jẹrisi laarin wakati 24,phishing,yo,account_suspension,synthetic_generator,sms,0803820865,2025-06-29T01:41:56.798Z
ÌKÍLỌ̀: A rí ìwọlé airotẹlẹ sí akọọlẹ Airtel Money rẹ. Jẹ́rìí ní https://rb.gy/y701 tàbí à ó dì í,phishing,yo,account_suspension,synthetic_generator,sms,0810179374,2025-07-22T17:11:56.799Z
