message,label,language,scam_type,source,channel,sender,received_at
ACTION REQUIRED: Your UBA account will be deactivated in 12 hours. Update your details at https://cutt.ly/n433,phishing,en,account_suspension,synthetic_generator,sms,0703078756,2025-10-15T02:34:56.579Z
Airtel Money SECURITY: Unusual transaction detected. Confirm your identity at https://bit.ly/d963 immediately.,phishing,en,account_suspension,synthetic_generator,sms,0703718078,2025-05-13T19:56:56.583Z
ACTION REQUIRED: Your First Bank account will be deactivated in 24 hours. Update your details at https://cutt.ly/f370,phishing,en,account_suspension,synthetic_generator,sms,0806203477,2025-06-22T03:45:56.584Z
ACTION REQUIRED: Your First Bank account will be deactivated in 2 hours. Update your details at https://rb.gy/x823,phishing,en,account_suspension,synthetic_generator,sms,0806698365,2025-08-14T05:06:56.584Z
ACTION REQUIRED: Your M-Pesa account will be deactivated in 4 hours. Update your details at https://cutt.ly/r780,phishing,en,account_suspension,synthetic_generator,sms,0810798161,2025-10-14T14:32:56.584Z
UBA SECURITY: Unusual transaction detected. Confirm your identity at https://tinyurl.com/z285 immediately.,phishing,en,account_suspension,synthetic_generator,sms,0806006601,2025-08-19T03:06:56.584Z
ALERT: We detected suspicious login to your Access Bank account. Verify now at https://rb.gy/o167 or your account will be blocked.,phishing,en,account_suspension,synthetic_generator,sms,0806390843,2025-10-01T06:20:56.584Z
ALERT: We detected suspicious login to your Access Bank account. Verify now at https://cutt.ly/p450 or your account will be blocked.,phishing,en,account_suspension,synthetic_generator,sms,0806492550,2025-06-24T01:31:56.584Z
ALERT: We detected suspicious login to your GTBank account. Verify now at https://cutt.ly/a375 or your account will be blocked.,phishing,en,account_suspension,synthetic_generator,sms,0803693212,2025-05-24T10:21:56.585Z
URGENT: Your MTN Mobile Money account has been suspended due to unusual activity. Click https://bit.ly/f567 to verify within 24hrs or lose access permanently.,phishing,en,account_suspension,synthetic_generator,sms,0813539010,2025-07-16T21:57:56.585Z
URGENT: Your First Bank account has been suspended due to unusual activity. Click https://tinyurl.com/w150 to verify within 24hrs or lose access permanently.,phishing,en,account_suspension,synthetic_generator,sms,0816179303,2025-10-14T21:34:56.585Z
ALERT: We detected suspicious login to your GTBank account. Verify now at https://tinyurl.com/e996 or your account will be blocked.,phishing,en,account_suspension,synthetic_generator,sms,0806094458,2025-10-15T05:33:56.585Z
ALERT: We detected suspicious login to your Airtel Money account. Verify now at https://cutt.ly/k464 or your account will be blocked.,phishing,en,account_suspension,synthetic_generator,sms,0703767221,2025-05-23T17:21:56.585Z
